,Pos,Old,Old.R,New,New.R,Paid
0,GK,Bernd Leno,83.0,Samir Handanovič,88.0,30000000.0
1,RB,Ainsley Maitland-Niles,73.0,César Azpilicueta Tanco,85.0,30500000.0
2,RCB,Sokratis Papastathopoulos,84.0,Sokratis Papastathopoulos,84.0,0.0
3,LCB,Laurent Koscielny,82.0,Laurent Koscielny,82.0,0.0
4,LB,Sead Kolašinac,80.0,Marcelo Vieira da Silva,86.0,32000000.0
5,RDM,Lucas Torreira,82.0,Lucas Torreira,82.0,0.0
6,LDM,Granit Xhaka,81.0,Granit Xhaka,81.0,0.0
7,RM,Henrikh Mkhitaryan,82.0,Henrikh Mkhitaryan,82.0,0.0
8,LM,Pierre-Emerick Aubameyang,88.0,Pierre-Emerick Aubameyang,88.0,0.0
9,CAM,Mesut Özil,85.0,Mesut Özil,85.0,0.0
10,ST,Alexandre Lacazette,85.0,Alexandre Lacazette,85.0,0.0
11,,,905.0,,928.0,92500000.0
