,Pos,Old,Old.R,New,New.R,Paid
0,GK,Hugo Lloris,88.0,Hugo Lloris,88.0,0.0
1,RB,Kieran Trippier,81.0,Kieran Trippier,81.0,0.0
2,RCB,Toby Alderweireld,87.0,Toby Alderweireld,87.0,0.0
3,LCB,Jan Vertonghen,87.0,Jan Vertonghen,87.0,0.0
4,LB,Danny Rose,81.0,Marcelo Vieira da Silva,86.0,32000000.0
5,RCM,Moussa Sissoko,80.0,Moussa Sissoko,80.0,0.0
6,CM,Harry Winks,79.0,Sergio Busquets Burgos,89.0,51500000.0
7,LCM,Christian Eriksen,88.0,Christian Eriksen,88.0,0.0
8,CAM,Dele Alli,85.0,Dele Alli,85.0,0.0
9,RS,Heung Min Son,87.0,Heung Min Son,87.0,0.0
10,LS,Harry Kane,90.0,Harry Kane,90.0,0.0
11,,,933.0,,948.0,83500000.0
