,Pos,Old,Old.R,New,New.R,Paid
0,GK,Alisson Ramses Becker,87.0,Alisson Ramses Becker,87.0,0.0
1,RB,Trent Alexander-Arnold,80.0,César Azpilicueta Tanco,85.0,30500000.0
2,RCB,Joel Matip,81.0,Joel Matip,81.0,0.0
3,LCB,Virgil van Dijk,89.0,Virgil van Dijk,89.0,0.0
4,LB,Andrew Robertson,83.0,Jordi Alba Ramos,87.0,38000000.0
5,CDM,Fábio Henrique Tavares,85.0,Fernando Luiz Rosa,87.0,20500000.0
6,RCM,Jordan Henderson,82.0,Jordan Henderson,82.0,0.0
7,LCM,Georginio Wijnaldum,83.0,Georginio Wijnaldum,83.0,0.0
8,CF,Roberto Firmino Barbosa de Oliveira,86.0,Roberto Firmino Barbosa de Oliveira,86.0,0.0
9,RW,Mohamed Salah,89.0,Mohamed Salah,89.0,0.0
10,LW,Sadio Mané,87.0,Sadio Mané,87.0,0.0
11,,,932.0,,943.0,89000000.0
