,Pos,Old,Old.R,New,New.R,Paid
0,GK,David De Gea Quintana,90.0,David De Gea Quintana,90.0,0.0
1,RB,Ashley Young,79.0,Kyle Walker,84.0,24500000.0
2,RCB,Chris Smalling,80.0,Chris Smalling,80.0,0.0
3,LCB,Victor Lindelöf,81.0,Victor Lindelöf,81.0,0.0
4,LB,Luke Shaw,81.0,Filipe Luís Kasmirski,85.0,21500000.0
5,RCM,Ander Herrera Agüera,82.0,Ander Herrera Agüera,82.0,0.0
6,CM,Nemanja Matić,83.0,Luka Modrić,91.0,67000000.0
7,LCM,Paul Pogba,88.0,Paul Pogba,88.0,0.0
8,CAM,Jesse Lingard,82.0,David Josué Jiménez Silva,90.0,60000000.0
9,RS,Romelu Lukaku,86.0,Romelu Lukaku,86.0,0.0
10,LS,Marcus Rashford,83.0,Marcus Rashford,83.0,0.0
11,,,915.0,,940.0,173000000.0
