,Pos,Old,Old.R,New,New.R,Paid
0,GK,Kepa Arrizabalaga,84.0,Samir Handanovič,88.0,30000000.0
1,RB,César Azpilicueta Tanco,85.0,César Azpilicueta Tanco,85.0,0.0
2,RCB,Andreas Christensen,80.0,Andreas Christensen,80.0,0.0
3,LCB,David Luiz Moreira Marinho,83.0,David Luiz Moreira Marinho,83.0,0.0
4,LB,Marcos Alonso Mendoza,83.0,Marcos Alonso Mendoza,83.0,0.0
5,RCM,N'Golo Kanté,89.0,N'Golo Kanté,89.0,0.0
6,CM,Luiz Frello Filho Jorge,83.0,David Josué Jiménez Silva,90.0,60000000.0
7,LCM,Ruben Loftus-Cheek,78.0,Ruben Loftus-Cheek,78.0,0.0
8,RW,Pedro Rodríguez Ledesma,82.0,Pedro Rodríguez Ledesma,82.0,0.0
9,ST,Gonzalo Higuaín,87.0,Gonzalo Higuaín,87.0,0.0
10,LW,Eden Hazard,91.0,Eden Hazard,91.0,0.0
11,,,925.0,,936.0,90000000.0
