,Pos,Old,Old.R,New,New.R,Paid
0,GK,Ederson Santana de Moraes,86.0,Ederson Santana de Moraes,86.0,0.0
1,RB,Kyle Walker,84.0,Joshua Kimmich,86.0,45000000.0
2,RCB,John Stones,83.0,John Stones,83.0,0.0
3,LCB,Aymeric Laporte,86.0,Aymeric Laporte,86.0,0.0
4,LB,Oleksandr Zinchenko,75.0,Jordi Alba Ramos,87.0,38000000.0
5,CDM,Fernando Luiz Rosa,87.0,Fernando Luiz Rosa,87.0,0.0
6,RCM,Kevin De Bruyne,91.0,Kevin De Bruyne,91.0,0.0
7,LCM,David Josué Jiménez Silva,90.0,David Josué Jiménez Silva,90.0,0.0
8,RW,Bernardo Mota Carvalho e Silva,86.0,Bernardo Mota Carvalho e Silva,86.0,0.0
9,ST,Sergio Agüero,89.0,Sergio Agüero,89.0,0.0
10,LW,Raheem Sterling,87.0,C. Ronaldo dos Santos Aveiro,94.0,77000000.0
11,,,944.0,,965.0,160000000.0
