,Pos,Old,Old.R,Old.Pot,New,New.R,New.Pot,Paid
0,GK,David De Gea Quintana,90.0,92.0,David De Gea Quintana,90.0,92.0,0.0
1,RB,Ashley Young,79.0,79.0,César Azpilicueta Tanco,85.0,85.0,30500000.0
2,RCB,Chris Smalling,80.0,80.0,Giorgio Chiellini,90.0,90.0,31000000.0
3,LCB,Victor Lindelöf,81.0,87.0,Thiago Emiliano da Silva,88.0,88.0,24000000.0
4,LB,Luke Shaw,81.0,85.0,Filipe Luís Kasmirski,85.0,85.0,21500000.0
5,RCM,Ander Herrera Agüera,82.0,82.0,Luka Modrić,91.0,91.0,67000000.0
6,CM,Nemanja Matić,83.0,83.0,Nemanja Matić,83.0,83.0,0.0
7,LCM,Paul Pogba,88.0,91.0,Paul Pogba,88.0,91.0,0.0
8,CAM,Jesse Lingard,82.0,83.0,Jesse Lingard,82.0,83.0,0.0
9,RS,Romelu Lukaku,86.0,88.0,Romelu Lukaku,86.0,88.0,0.0
10,LS,Marcus Rashford,83.0,90.0,Marcus Rashford,83.0,90.0,0.0
11,,,915.0,940.0,,951.0,966.0,174000000.0
