,Pos,Old,Old.R,Old.Pot,New,New.R,New.Pot,Paid
0,GK,Kepa Arrizabalaga,84.0,90.0,Samir Handanovič,88.0,88.0,30000000.0
1,RB,César Azpilicueta Tanco,85.0,85.0,César Azpilicueta Tanco,85.0,85.0,0.0
2,RCB,Andreas Christensen,80.0,87.0,Giorgio Chiellini,90.0,90.0,31000000.0
3,LCB,David Luiz Moreira Marinho,83.0,83.0,Thiago Emiliano da Silva,88.0,88.0,24000000.0
4,LB,Marcos Alonso Mendoza,83.0,83.0,Marcos Alonso Mendoza,83.0,83.0,0.0
5,RCM,N'Golo Kanté,89.0,90.0,N'Golo Kanté,89.0,90.0,0.0
6,CM,Luiz Frello Filho Jorge,83.0,84.0,Luiz Frello Filho Jorge,83.0,84.0,0.0
7,LCM,Ruben Loftus-Cheek,78.0,85.0,Marco Parolo,82.0,82.0,9000000.0
8,RW,Pedro Rodríguez Ledesma,82.0,82.0,Pedro Rodríguez Ledesma,82.0,82.0,0.0
9,ST,Gonzalo Higuaín,87.0,87.0,Gonzalo Higuaín,87.0,87.0,0.0
10,LW,Eden Hazard,91.0,91.0,Eden Hazard,91.0,91.0,0.0
11,,,925.0,947.0,,948.0,950.0,94000000.0
